,name,online_order,rate,votes,location,rest_type,approx_cost
0,Jalsa,Yes,4.1,775,Banashankari,Casual Dining,800
1,Spice Elephant,Yes,4.1,787,Banashankari,Casual Dining,800
2,San Churro Cafe,Yes,3.8,918,Banashankari,"Cafe, Casual Dining",800
3,Addhuri Udupi Bhojana,No,3.7,88,Banashankari,Quick Bites,300
4,Grand Village,No,3.8,166,Basavanagudi,Casual Dining,600
5,Timepass Dinner,Yes,3.8,286,Basavanagudi,Casual Dining,600
6,Rosewood International Hotel - Bar & Restaurant,No,3.6,8,Mysore Road,Casual Dining,800
7,Onesta,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe",600
8,Penthouse Cafe,Yes,4.0,324,Banashankari,Cafe,700
9,Smacznego,Yes,4.2,504,Banashankari,Cafe,550
10,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,4.1,402,Banashankari,Cafe,500
11,Cafe Shuffle,Yes,4.2,150,Banashankari,Cafe,600
12,The Coffee Shack,Yes,4.2,164,Banashankari,Cafe,500
13,Caf-Eleven,No,4.0,424,Banashankari,Cafe,450
14,San Churro Cafe,Yes,3.8,918,Banashankari,"Cafe, Casual Dining",800
15,Cafe Vivacity,Yes,3.8,90,Banashankari,Cafe,650
16,Catch-up-ino,Yes,3.9,133,Banashankari,Cafe,800
17,Kirthi's Biryani,Yes,3.8,144,Banashankari,Cafe,700
18,T3H Cafe,No,3.9,93,Banashankari,Cafe,300
19,360 Atoms Restaurant And Cafe,Yes,3.1,13,Banashankari,Cafe,400
20,The Vintage Cafe,Yes,3.0,62,Banashankari,Cafe,400
21,Woodee Pizza,Yes,3.7,180,Banashankari,Cafe,500
22,Cafe Coffee Day,No,3.6,28,Banashankari,Cafe,900
23,My Tea House,Yes,3.6,62,Banashankari,"Quick Bites, Cafe",600
24,Hide Out Cafe,No,3.7,31,Banashankari,Cafe,300
25,CAFE NOVA,No,3.2,11,Banashankari,Cafe,600
26,Coffee Tindi,Yes,3.8,75,Banashankari,"Cafe, Quick Bites",200
27,Sea Green Cafe,No,3.3,4,Banashankari,Cafe,500
28,Cuppa,No,3.3,23,Banashankari,Cafe,550
29,Srinathji's Cafe,No,3.8,148,Basavanagudi,"Casual Dining, Cafe",550
30,Redberrys,Yes,4.0,219,Basavanagudi,Cafe,600
31,Foodiction,Yes,2.8,506,Banashankari,Quick Bites,500
32,Sweet Truth,Yes,3.9,35,Banashankari,Delivery,500
33,Ovenstory Pizza,Yes,3.9,172,Banashankari,Delivery,750
34,Faasos,Yes,4.2,415,Banashankari,Quick Bites,500
35,Behrouz Biryani,Yes,3.9,230,Banashankari,Delivery,650
36,Fast And Fresh,Yes,2.8,91,Banashankari,Quick Bites,400
37,Szechuan Dragon,Yes,4.2,1647,Banashankari,Casual Dining,600
38,Empire Restaurant,Yes,4.4,4884,Jayanagar,Casual Dining,750
39,Maruthi Davangere Benne Dosa,Yes,4.0,17,Banashankari,Quick Bites,150
40,Chaatimes,Yes,3.8,133,Basavanagudi,Quick Bites,200
41,Havyaka Mess,No,3.9,28,Banashankari,Mess,300
42,McDonald's,Yes,3.9,286,Banashankari,Quick Bites,500
43,Domino's Pizza,Yes,3.9,540,Banashankari,Quick Bites,800
44,Onesta,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe",600
45,Hotboxit,No,3.8,36,Banashankari,Delivery,400
46,Kitchen Garden,Yes,3.6,244,Kumaraswamy Layout,Quick Bites,300
47,Recipe,Yes,4.0,804,Kumaraswamy Layout,Casual Dining,450
48,Beijing Bites,Yes,3.7,679,Rajarajeshwari Nagar,Casual Dining,850
49,Tasty Bytes,Yes,3.1,245,Kumaraswamy Layout,Quick Bites,300
50,Petoo,No,3.7,21,Banashankari,Quick Bites,450
51,Shree Cool Point,Yes,4.1,28,Vijay Nagar,Quick Bites,150
52,Corner House Ice Cream,No,4.3,345,Banashankari,Dessert Parlor,400
53,Biryanis And More,Yes,4.0,618,Jayanagar,Casual Dining,750
54,Roving Feast,No,4.0,1047,Banashankari,Quick Bites,450
55,FreshMenu,Yes,3.9,627,Banashankari,Delivery,450
56,Banashankari Donne Biriyani,Yes,3.8,104,Banashankari,Quick Bites,300
57,Wamama,Yes,4.2,354,Banashankari,Casual Dining,800
58,Five Star Chicken,No,3.6,55,Banashankari,Quick Bites,200
59,XO Belgian Waffle,Yes,3.7,17,Banashankari,Dessert Parlor,400
60,Peppy Peppers,No,4.2,244,Banashankari,Casual Dining,800
61,Goa 0 Km,Yes,3.6,163,Kumaraswamy Layout,Casual Dining,800
62,Chinese Kitchen,Yes,3.8,58,Basavanagudi,Quick Bites,150
63,1947,No,4.0,808,Banashankari,Casual Dining,850
64,Cake of the Day,No,3.7,78,Banashankari,"Bakery, Dessert Parlor",150
65,Kabab Magic,Yes,4.1,1720,Basavanagudi,Quick Bites,400
66,Namma Brahmin's Idli,Yes,3.6,34,Jayanagar,Quick Bites,100
67,Gustoes Beer House,No,4.1,868,Banashankari,Pub,1200
68,Sugar Rush,No,3.8,39,Banashankari,Bakery,300
69,Burger King,Yes,3.2,71,Basavanagudi,Quick Bites,600
